Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
w40gn49e,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",None,2,17,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
ygak7kjf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",None,2,15,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
xm0erjm6,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomVerticalFlip(p=0.5),None,2,20,0.0,0.0,0.0,,144,0,27,0
kx3ni2za,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomHorizontalFlip(p=0.5),None,2,25,0.5777777777777777,0.7222222222222222,0.48148148148148145,,139,5,14,13
qpw5souy,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",None,2,17,0.5,1.0,0.3333333333333333,,144,0,18,9
8iy45ok9,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,2,17,0.25806451612903225,1.0,0.14814814814814814,,144,0,23,4
ogr39q8v,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",None,2,20,0.07142857142857142,1.0,0.037037037037037035,,144,0,26,1
5myk1x34,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",None,2,18,0.32380952380952377,0.21794871794871795,0.6296296296296297,,83,61,10,17
sjrzbfkg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",None,2,12,0.25806451612903225,1.0,0.14814814814814814,,144,0,23,4
t82j8smz,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",None,2,21,0.303030303030303,0.8333333333333334,0.18518518518518515,,143,1,22,5
