Transforms,Test F1_mean,Test F1_max,Test F1_min
"T.RandomApply([T.ColorJitter(brightness=0.3)], p=0.5)",0.2230820549031601,0.6862745098039216,0.0
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3)], p=0.5)",0.119043180838071,0.2928870292887029,0.0
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3)], p=0.5)",0.2267495173745174,0.7297297297297298,0.0
"T.RandomApply([T.ColorJitter(brightness=0.3, contrast=0.3, saturation=0.3, hue=0.3)], p=0.5)",0.1530078511929691,0.3319838056680161,0.0
"T.RandomApply([T.ColorJitter(brightness=0.4, contrast=0.4)], p=0.5)",0.1910018222017159,0.4590163934426229,0.0
"T.RandomApply([T.ColorJitter(contrast=0.1)], p=0.5)",0.1961696762950054,0.5000000000000001,0.0
"T.RandomApply([T.ColorJitter(contrast=0.3)], p=0.5)",0.2620724109425161,0.6862745098039216,0.0
"T.RandomApply([T.ColorJitter(contrast=0.5)], p=0.5)",0.1820481868104685,0.4,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 0.5))], p=0.5)",0.2006439446592375,0.4046242774566474,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 1.5))], p=0.25)",0.2490097445991591,0.6666666666666665,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 2.0))], p=0.5)",0.2179219234526995,0.631578947368421,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.5, 1.0))], p=0.5)",0.2213896450668892,0.6862745098039216,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(1.5, 2.0))], p=0.5)",0.2533638944124834,0.6363636363636364,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 0.5))], p=0.5)",0.2692720918277207,0.8536585365853657,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.1, 2.0))], p=0.5)",0.1328261916225325,0.4193548387096774,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(0.5, 1.0))], p=0.5)",0.2598125254187554,0.8536585365853657,0.0
"T.RandomApply([T.GaussianBlur(kernel_size=5, sigma=(1.5, 2.0))], p=0.5)",0.097065142065142,0.3513513513513513,0.0
