Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP,sweep_type
gtn7m8x8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.GaussianBlur(kernel_size=3, sigma=(0.1, 2.0))], p=0.5)",,3,20,0.631578947368421,0.8275862068965517,0.5106382978723404,,161,5,23,24,pixel-level
r4xy4vud,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2), gamma=(0.5, 1.5))",,3,25,0.7466666666666666,1.0,0.5957446808510638,,166,0,19,28,pixel-level
pwdmvs06,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3), gamma=(0.5, 1.5))",,3,23,0.4166666666666666,0.2892561983471074,0.7446808510638298,,80,86,12,35,pixel-level
kv8b0tiy,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5), gamma=(0.5, 1.5))",,3,13,0.5147058823529412,0.3932584269662921,0.7446808510638298,,112,54,12,35,pixel-level
14975tqj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(5, 5))",,3,14,0.4761904761904761,0.35,0.7446808510638298,,101,65,12,35,pixel-level
nalp0ehm,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(3, 3))",,3,21,0.7792207792207793,1.0,0.6382978723404256,,166,0,17,30,pixel-level
n7bs9jpf,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","MT.RandSmoothFieldAdjustContrast(prob=0.5, spatial_size=(600, 400), rand_size=(2, 2))",,3,13,0.6603773584905661,0.5932203389830508,0.7446808510638298,,142,24,12,35,pixel-level
oyjmntkg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomContrastByMultiply(p=0.5, multiplier=(0.9, 1.1))",,3,4,0.5970149253731344,1.0,0.425531914893617,,166,0,27,20,pixel-level
bfgl760j,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomContrastByMultiply(p=0.5, multiplier=(1.5, 2.0))",,3,11,0.564516129032258,0.4545454545454546,0.7446808510638298,,124,42,12,35,pixel-level
jdoq2oc9,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","CT.RandomContrastByMultiply(p=0.5, multiplier=(0.5, 1.0))",,3,17,0.7142857142857144,0.6862745098039216,0.7446808510638298,,150,16,12,35,pixel-level
