Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min,sweep_type,average_metric
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.005, 0.01))",0.3037648948736121,0.8433734939759036,0.0,0.3505668934240363,0.9722222222222222,0.0,0.2829044241810199,0.7446808510638298,0.0,,,,pixel-level,0.48923184502716743
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.01))",0.1695652173913043,0.608695652173913,0.0,0.1415376676986584,0.5147058823529411,0.0,0.2117933130699087,0.7446808510638298,0.0,,,,pixel-level,0.3282608695652174
"CT.RandomSaltAndPepperNoise(p=0.5, density=(0.01, 0.03))",0.1040103739758515,0.4430379746835443,0.0,0.0744612393548563,0.3153153153153153,0.0,0.1751795564561521,0.7446808510638298,0.0,,,,pixel-level,0.22922037686134347
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.05)",0.0642857142857143,0.3214285714285714,0.0,0.2,1.0,0.0,0.0382978723404255,0.1914893617021277,0.0,,,,pixel-level,0.1607142857142857
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.1)",0.1192307692307692,0.5961538461538461,0.0,0.1087719298245614,0.543859649122807,0.0,0.1319148936170212,0.6595744680851063,0.0,,,,pixel-level,0.2980769230769231
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.5)",0.0313725490196078,0.1568627450980392,0.0,0.2,1.0,0.0,0.0170212765957446,0.0851063829787234,0.0,,,,pixel-level,0.07843137254901958
"CT.RandomSpeckleNoise(p=1.0, mean=0, std=0.8)",0.0070175438596491,0.0350877192982456,0.0,0.009090909090909,0.0454545454545454,0.0,0.0057142857142857,0.0285714285714285,0.0,,,,pixel-level,0.017543859649122792
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.001)",0.1848081277213352,0.5760000000000001,0.0,0.1870218239150278,0.4615384615384616,0.0,0.22112799729821,0.7659574468085106,0.0,,,,pixel-level,0.3228040638606676
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.005)",0.1515058207060476,0.4761904761904761,0.0,0.1154656862745098,0.35,0.0,0.2283012495778453,0.7446808510638298,0.0,,,,pixel-level,0.26622910082921425
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.01)",0.2465273292186177,0.6422018348623854,0.0,0.2766298537883987,0.6363636363636364,0.0,0.26301024428684,0.7446808510638298,0.0,,,,pixel-level,0.38014439855426296
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.05)",0.2386670205558367,0.4794520547945205,0.0451127819548872,0.4561328439599894,1.0,0.0283018867924528,0.3408500545404433,0.7446808510638298,0.074074074074074,,,,pixel-level,0.3156256103912153
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.1)",0.245031301178538,0.7446808510638298,0.0,0.3100790273556231,0.7857142857142857,0.0,0.2266081278847236,0.7446808510638298,0.0,,,,pixel-level,0.4203879910148009
"MT.RandGaussianNoise(prob=0.5, mean=0, std=0.5)",0.0108108108108108,0.054054054054054,0.0,0.0071428571428571,0.0357142857142857,0.0,0.0222222222222222,0.1111111111111111,0.0,,,,pixel-level,0.027027027027027
"MT.RandGaussianSharpen(prob=0.5, alpha=(0.0, 2.0))",0.2291060534431913,0.7948717948717948,0.0,0.257607476635514,1.0,0.0,0.2284228301249578,0.6595744680851063,0.0,,,,pixel-level,0.43250174467031355
"MT.RandGaussianSharpen(prob=0.5, alpha=(1.0, 5.0))",0.2360252650575231,0.4895104895104895,0.0,0.3675198412698412,1.0,0.0,0.2693594506360464,0.7446808510638298,0.0,,,,pixel-level,0.3138168283329574
